0,Amherst,MA,5511,12%,NaN,10%
1,Babson,MA,5511,29%,53%,21%
2,Barnard,NY,5440,21%,45%,18%
3,SUNY-Bing.,NY,28174,42%,56%,36%
4,Boston Coll,MA,34000,29%,40%,26%
5,Boston U,MA,43979,45%,47%,44%
6,Bowdoin,ME,6716,16%,25%,14%
7,Brown,RI,28742,10%,19%,NaN
8,Caltech[237],CA,5225,17%,19%,NaN
9,Carleton,MN,5850,26%,41%,26%
10,Carnegie-Mel,PA,17300,27%,26%,27%
11,Claremont Mc,CA,5056,12%,29%,10%
12,Colby,ME,5241,29%,50%,29%
13,Colgate,NY,7795,29%,51%,27%
14,Columbia,NY,31851,7%,20%,NaN
15,Cooper Union,NY,3556,6%,9%,6%
16,Cornell,NY,37812,16%,33%,NaN
17,Dartmouth,NH,23110,9%,26%,8%
18,Dickinson,PA,5843,40%,53%,28%
19,Duke,NC,31600,12%,25%,11%
20,Elon,NC,10195,51%,86%,29%
21,Emory,GA,17502,26%,38%,25%
22,G Washington,DC,21759,33%,38%,NaN
23,Grinnell,IA,4554,30%,58%,28%
24,Hamilton,NY,5107,27%,44%,NaN
25,Hanover,IN,3546,62%,NaN,62%
26,Harvard[238],MA,34302,6%,18%,4%
27,Harvey Mudd,CA,3591,17%,20%,17%
28,Johns Hopkins,MD,20496,18%,38%,16%
29,Juilliard,NY,2319,7%,NaN,7%
51,Texas A&M,TX,31478,59%,NaN,59%
52,Trinity,CT,7716,33%,NaN,NaN
53,UC Berkeley,CA,61702,21%,NaN,NaN
54,UC Davis,CA,49416,46%,NaN,NaN
55,UC Irvine,CA,54532,36%,NaN,NaN
56,UCLA,CA,72657,21%,NaN,NaN
57,UC Merced,CA,13148,75%,NaN,NaN
58,UC Riverside,CA,29888,61%,NaN,NaN
59,UC San Diego,CA,60838,38%,NaN,NaN
60,UC Santa Bar,CA,54831,42%,NaN,NaN
61,UC Santa Cr.,CA,32954,60%,NaN,NaN
62,U Chicago,IL,25277,13%,18%,NaN
63,U Delaware,DE,26534,53%,NaN,53%
64,U Florida,FL,29220,41%,NaN,41%
65,UNC Chapel H,NC,28491,27%,38%,16%
66,U. Penn.,PA,31217,12%,25%,10%
67,U Puget Sou.,WA,6772,53%,88%,53%
68,U Rochester[243],NY,17428,36%,NaN,NaN
69,USC,CA,46030,18%,NaN,18%
70,U. Virginia,VA,27200,29%,29%,23%
71,U. Wisc-Mad.,WI,29008,54%,54%,NaN
72,Vanderbilt,TN,28335,13%,25%,12%
73,Vassar,NY,7908,22%,43%,21%
74,Wake Forest,NC,11366,32%,43%,31%
75,Wash & Lee,VA,5970,18%,40%,15%
76,Washington U,MO,28826,15%,31%,17%
77,Wesleyan,CT,10503,20%,45%,18%
78,William & M.,VA,13651,31%,48%,29%
79,Williams,MA,7067,17%,NaN,NaN
80,Yale,CT,28974,7%,16%,5%
